date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,btc_open,btc_high,btc_low,btc_close,btc_volume
2026-01-15,4710.27978515625,4797.5498046875,4705.43994140625,4797.5498046875,545200,142160000.0,142815000.0,140400000.0,140907000.0,1439.1419475
2026-01-16,4820.66015625,4855.60986328125,4797.75,4840.740234375,720900,140907000.0,141346000.0,139800000.0,141083000.0,896.66376962
2026-01-19,4829.39990234375,4917.3701171875,4827.9501953125,4904.66015625,570800,138944000.0,138993000.0,136590000.0,137010000.0,1474.79458216
2026-01-20,4900.27978515625,4935.47998046875,4823.8798828125,4885.75,667700,137010000.0,137650000.0,131118000.0,131849000.0,2250.38139501
2026-01-21,4808.93994140625,4910.5400390625,4807.1298828125,4909.93017578125,600100,131849000.0,134345000.0,130000000.0,132505000.0,2064.78202226
2026-01-22,4987.06005859375,5019.5400390625,4934.169921875,4952.52978515625,568600,132505000.0,134069000.0,131786000.0,132864000.0,871.38541481
2026-01-23,4984.080078125,5021.1298828125,4926.22021484375,4990.06982421875,612600,132864000.0,134741000.0,131568000.0,131961000.0,991.5855696
2026-01-26,4997.5400390625,5023.759765625,4940.77978515625,4949.58984375,446900,128500000.0,129900000.0,127800000.0,129474000.0,1509.24682749
2026-01-27,4932.89013671875,5084.85009765625,4890.72021484375,5084.85009765625,476200,129474000.0,130349000.0,127800000.0,129687000.0,1119.30852055
2026-01-28,5145.39013671875,5183.43994140625,5124.7998046875,5170.81005859375,593100,129690000.0,131300000.0,128423000.0,129079000.0,1112.7722633
2026-01-29,5243.419921875,5252.60986328125,5073.1201171875,5221.25,699700,129051000.0,129080000.0,122734000.0,124287000.0,2871.72981112
2026-01-30,5210.35009765625,5321.68017578125,5199.77978515625,5224.35986328125,862500,124258000.0,125300000.0,119100000.0,125210000.0,3579.23932955
2026-02-02,5122.6201171875,5196.7099609375,4933.580078125,4949.669921875,572500,113416000.0,117350000.0,110638000.0,116997000.0,3681.90848017
2026-02-03,5114.81005859375,5288.080078125,5101.31005859375,5288.080078125,672600,116932000.0,117316000.0,108800000.0,111882000.0,3143.52353563
2026-02-04,5260.7099609375,5376.919921875,5243.10986328125,5371.10009765625,789900,111882000.0,113470000.0,106510000.0,107867000.0,3504.39567887
2026-02-05,5251.02978515625,5304.39990234375,5142.2001953125,5163.56982421875,911900,107867000.0,108262000.0,92039000.0,92920000.0,12556.16349859
2026-02-06,5013.14990234375,5120.77001953125,4899.2998046875,5089.14013671875,745800,92894000.0,106801000.0,89000000.0,104990000.0,12766.90988436
2026-02-09,5299.10009765625,5322.35009765625,5265.080078125,5298.0400390625,617700,104597000.0,105979000.0,101300000.0,103479000.0,2616.25875622
2026-02-10,5350.2099609375,5363.6201171875,5286.669921875,5301.68994140625,712300,103479000.0,104188000.0,101000000.0,102136000.0,1879.31789908
2026-02-11,5293.75,5374.22998046875,5257.52978515625,5354.490234375,753800,102136000.0,102702000.0,97712000.0,99166000.0,3680.91846931
2026-02-12,5425.39013671875,5522.27001953125,5399.52001953125,5522.27001953125,750600,99162000.0,100367000.0,96000000.0,97328000.0,2306.02573244
2026-02-13,5513.7099609375,5583.740234375,5480.919921875,5507.009765625,1290700,97327000.0,101663000.0,96700000.0,100786000.0,2257.61835963
2026-02-19,5642.08984375,5681.64990234375,5614.97021484375,5677.25,1185800,98622000.0,99409000.0,97069000.0,98846000.0,1533.36606451
2026-02-20,5696.89013671875,5809.91015625,5684.580078125,5808.52978515625,1749300,98847000.0,100620000.0,98263000.0,100065000.0,1652.57790948
2026-02-23,5903.10986328125,5931.85986328125,5792.56982421875,5846.08984375,1477800,99579000.0,99580000.0,94346000.0,95352000.0,3494.8717926
2026-02-24,5853.47998046875,5969.64013671875,5775.60986328125,5969.64013671875,1602000,95352000.0,95762000.0,92000000.0,93807000.0,3095.24924342
2026-02-25,6022.7001953125,6144.7099609375,5984.27978515625,6083.85986328125,1415300,93807000.0,100482000.0,93400000.0,97937000.0,3478.09466755
2026-02-26,6121.02978515625,6313.27001953125,6107.41015625,6307.27001953125,1409600,97935000.0,99223000.0,96343000.0,97449000.0,1956.33610352
2026-02-27,6197.490234375,6347.41015625,6153.8701171875,6244.1298828125,1166100,97450000.0,98600000.0,95061000.0,96121000.0,1703.63306742
2026-03-03,6165.14990234375,6180.4501953125,5791.64990234375,5791.91015625,1227200,100578000.0,101549000.0,97493000.0,100274000.0,2835.57698815
